,cleanedtext,standardized
24524,get party started super comes on ,['marioparty']
24658,super party is is party 10 or 11 now keep losing track either way excited ,['marioparty']
24764,who likes rock party super is coming on october 5th ,['marioparty']
24781,friends become enemies once more in coming october switch ,['marioparty']
24810,get party started super comes on ,['marioparty']
24865,get party started super comes on ,['marioparty']
25239,get party started super comes on ,['marioparty']
25254,who likes rock party super is coming on october 5th ,['marioparty']
25314,who likes rock party super is coming on ,['marioparty']
25358,get party started super comes on ,['marioparty']
25463,friends become enemies once more in coming october switch ,['marioparty']
25522,who likes rock party super is coming on ,['marioparty']
25586,who likes rock party super is coming on ,['marioparty']
25598,who likes rock party super is coming on ,['marioparty']
25643,who likes rock party super is coming on ,['marioparty']
25753,get party started super comes on ,['marioparty']
25825,who likes rock party super is coming on ,['marioparty']
25890,get party started super comes on ,['marioparty']
26032,get party started super comes on ,['marioparty']
26067,who likes rock party super is coming on ,['marioparty']
26151,super party is is party 10 or 11 now keep losing track either way excited ,['marioparty']
26192,get party started super comes on ,['marioparty']
26266,get party started super comes on ,['marioparty']
26425,are ready new announced at have all kinds great gear ,['marioparty']
26545,get party started super comes on ,['marioparty']
26603,get party started super comes on ,['marioparty']
26671,get party started super comes on ,['marioparty']
26768,get party started super comes on ,['marioparty']
26791,are pumped ,['marioparty']
26868,got rid car yay ,['marioparty']
26936,who likes rock party super is coming on october 5th ,['marioparty']
27013,who likes rock party super is coming on ,['marioparty']
27037,get party started super comes on ,['marioparty']
27061,die party am ,['marioparty']
27265,knew it knew it is coming october 5th switch thank ,['marioparty']
27301,who likes rock party super is coming on ,['marioparty']
27350,just announced new game it looks like old ones brother is going down ,['marioparty']
27414,get party started super comes on ,['marioparty']
27435,get party started super comes on ,['marioparty']
27568,who likes rock party super is coming on ,['marioparty']
27648,get party started super comes on ,['marioparty']
27680,get party started super comes on ,['marioparty']
27681,get party started super comes on ,['marioparty']
27738,friends become enemies once more in coming october switch ,['marioparty']
27797,get party started super comes on ,['marioparty']
27806,get party started super comes on ,['marioparty']
27898,party looks be back its best so down ,['marioparty']
27926,who likes rock party super is coming on october 5th ,['marioparty']
27942,literally all wanted maybe new ,"['marioparty', 'pokemonletsgo']"
28065,friends become enemies once more in coming october switch ,['marioparty']
28102,get party started super comes on ,['marioparty']
28188,get party started super comes on ,['marioparty']
28201,super party switch ,['marioparty']
28309,super party direct ,['marioparty']
28319,get party started super comes on ,['marioparty']
28339,get party started super comes on ,['marioparty']
28341,friends become enemies once more in coming october switch ,['marioparty']
28351,get party started super comes on ,['marioparty']
28368,die party am ,['marioparty']
28400,get party started super comes on ,['marioparty']
28405,get party started super comes on ,['marioparty']
28440,who likes rock party super is coming on ,['marioparty']
28442,get party started super comes on ,['marioparty']
28465,get party started super comes on ,['marioparty']
28509,get party started super comes on ,['marioparty']
28517,get party started super comes on ,['marioparty']
28532,get party started super comes on ,['marioparty']
28574,friends become enemies once more in coming october switch ,['marioparty']
28600,get party started super comes on ,['marioparty']
28628,get party started super comes on ,['marioparty']
28720,get party started super comes on ,['marioparty']
29196,get party started super comes on ,['marioparty']
29299,get party started super comes on ,['marioparty']
29340,get party started super comes on ,['marioparty']
29404,friends become enemies once more in coming october switch ,['marioparty']
29416,get party started super comes on ,['marioparty']
29453,get party started super comes on ,['marioparty']
29484,get party started super comes on ,['marioparty']
29637,super ,['marioparty']
29702,get party started super comes on ,['marioparty']
