,Tweet,cleanedtext
208,RT @CelopanYT: VIENDO EL NINTENDO DIRECT CON VOSOTROS!! #NintendoE3 https://t.co/IsuHMxK9Jt,he finally ridley join super ultimate playable fighter 
209,"RT @gamespot: Nintendo Direct is LIVE featuring Super Smash Bros. #NintendoE3 #GameSpotE3 #E32018
https://t.co/rzIoabbhll",whole new lighting engine 
210,Let’s-a go. #NintendoE3,super ultimate 
211,"Alright, Nintendo. I woke up early for you. Time to wow me. #NintendoE3 #E32018",crazy happy boy wolf back 
212,"RT @GBomber465: ""Woah, woah, ladies! I'm a smash fighter too!""
#SmashSwitch #NintendoE3 https://t.co/FPgjrVl0mq",die action 
213,"RT @NintendoUK: #NintendoDirect: #E32018 has begun! #NintendoE3

Watch it here: https://t.co/oaX0wLj50t https://t.co/ulu80cPSWf",every fighter series history joining battle super ultimate 
214,AHHHHHH #NintendoDirect,every fighter series history joining battle super ultimate 
215,HERE WE GO. #NintendoE3,come on simon make perfect game 
216,It is about to start! #E32018 #NintendoDirect,ha absolutely hit park improvement fighter 
217,¡Ya empieza! #E32018 #NintendoE3 https://t.co/cGnO5ycrWN,man oh man looking forward game shown 
218,"Please drop Pikmin. I want it sooo bad, Super smash brothers too #NintendoE3",every single past smash fighter new every single one 
219,QUE COMIENZAAAAA #NintendoE3 #E32018 https://t.co/Dv0EFIdf98,daisy join battle 
220,RT @anicrossing2: #NintendoE3 https://t.co/zrAPt1ITD0,every fighter series history joining battle super ultimate 
221,"RT @E3: It's almost time for #NintendoE3! Put your Switch down, pick up your computer or phone and head to https://t.co/Oqi6XTNjbD to see e…",twitter rn 
222,Let's go #NintendoE3,cloud boy welcome back son 
223,RT @kaze_n0_takuto: IT'S TIME #NintendoE3 https://t.co/AGH60YFSxP,every fighter series history joining battle super ultimate 
224,LETSAGO #NintendoE3,every fighter series history joining battle super ultimate 
225,HERE WE GO! #Nintendo #NintendoE3 #Nintendo3DS #NintendoSwitch #E3 #E32018 #Nintendo2018 #mario #pokemon #zelda,got tum love trigger 
226,BIG BLUE ME #NintendoE3,fighter but knew wa coming right 
227,RT @lannaslay: Here we go !!! #NintendoDirect https://t.co/8d69T9NHJZ,thank 
228,Here we go!! #NintendoE3,super roster revealed featuring snake every fighter history joining battle 
229,#NintendoDirect bye ca commence,so many smash fan got boner 
230,Jademy! #NintendoE3 #E32018,super roster revealed featuring snake every fighter history joining battle 
231,"I assume today's Nintendo Direct will be heavy on Smash Bros, and who can blame them. BUT, I'm really hoping for so… https://t.co/ja4FxoWWQ4",so ingested entirety quite looking forward see though 
232,#NintendoE3 #E32018,snake announced super smash 
233,"RT @NintendoItalia: Il #NintendoDirect: #E32018 è iniziato! #NintendoE3

Seguilo qui: https://t.co/83SNnCxtC5 https://t.co/Q3oz45kxbc",super ultimate come 
234,this extreme level of overreaction is g*merg*te all over again https://t.co/bTqsqHfIEc,every fighter series history joining battle super ultimate 
235,RT @PointNClickAUS: All I want... is Animal Crossing... #E32018 #NintendoDirect  #NintendoE32018,super ultimate 
236,aaaahhhh #NintendoE3 #E32018,every fighter series history joining battle super ultimate 
237,IT HAS BEGUN! https://t.co/vC2J01o5It #E32018 #E3 #Nintendo #NintendoDirect #NintendoSwitch #PokemonLetsGo #SuperSmashBros,finally actually skin 
238,Time for #NintendoE3 ! Her s hoping they announce #AnimalCrossing for Switch!,every fighter series history joining battle super ultimate 
239,"Right, let's see what you've got Nintendo.  Am I keeping this Switch thing or selling it?  #NintendoE3",super ultimate 
240,Here we go! #NintendoE3,link proudly wear hi champion tunic 
241,"LET'S
GO
#NintendoE3 #E3 #E32018 https://t.co/OL0jhuE4wh",every fighter series history joining battle super ultimate 
242,Watching Nintendo Direct E3 during my lunch... Better be some ANIMAL CROSSING. #NintendoDirect #E3 #animalcrossing,present new 
243,Apuntó de ver a #NintendoE3 en su direct! Hype al maximo... https://t.co/rEOLnZXMkt,super ultimate come december 7th 
244,La esperanza de que anuncien kh3 para switch en el #E32018  de #NintendoE3  es DEMASIADO REAL,most fan hope talk smash little bit hold beer 
245,HERE WE GO! #NintendoE3,super ultimate come 
